"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should upload a large test file","chromium","Mon Nov 11 22:30:38 CET 2024","skipped","Mon Nov 11 22:30:38 CET 2024","Upload file tests","upload.spec.ts","",""
"","5616","should upload a pokemon_image.png file","chromium","Mon Nov 11 22:30:38 CET 2024","passed","Mon Nov 11 22:30:43 CET 2024","Upload file tests","upload.spec.ts","",""
"","3858","Verify menu home link is enabled using text and CSS selector","chromium","Mon Nov 11 22:30:30 CET 2024","passed","Mon Nov 11 22:30:34 CET 2024","Home page","home.spec.ts","",""
"","6661","should upload a largeFileCat.jpg file","chromium","Mon Nov 11 22:30:37 CET 2024","passed","Mon Nov 11 22:30:44 CET 2024","Upload file tests","upload.spec.ts","",""
"","3596","Verify recent posts count and verify length of each list item","chromium","Mon Nov 11 22:30:23 CET 2024","passed","Mon Nov 11 22:30:27 CET 2024","blog page tests","blog.spec.ts","",""
"","9498","Fill in Contact form and verify success message","chromium","Mon Nov 11 22:30:23 CET 2024","passed","Mon Nov 11 22:30:33 CET 2024","contact page tests","contact.api.spec.ts","",""
"","3413","Verify the text of the 4th nav link","chromium","Mon Nov 11 22:30:34 CET 2024","passed","Mon Nov 11 22:30:38 CET 2024","Home page","home.spec.ts","",""
"","5239","Access Downloads","chromium","Mon Nov 11 22:30:18 CET 2024","passed","Mon Nov 11 22:30:23 CET 2024","My Account","account.spec.ts","",""
"","4465","Verify login and register is visible","chromium","Mon Nov 11 22:30:18 CET 2024","passed","Mon Nov 11 22:30:22 CET 2024","Account Page","account.spec.ts","",""
"","3529","Verify the text for all nav links","chromium","Mon Nov 11 22:30:34 CET 2024","passed","Mon Nov 11 22:30:37 CET 2024","Home page","home.spec.ts","",""
"","4274","Verify search icon is visible using xpath selector","chromium","Mon Nov 11 22:30:33 CET 2024","passed","Mon Nov 11 22:30:37 CET 2024","Home page","home.spec.ts","",""
"","3322","Verify heading text is visible using text selector","chromium","Mon Nov 11 22:30:27 CET 2024","passed","Mon Nov 11 22:30:30 CET 2024","Home page","home.spec.ts","",""
"","0","Open HomePage and verify title","chromium","Mon Nov 11 22:30:24 CET 2024","skipped","Mon Nov 11 22:30:24 CET 2024","Home page","home.spec.ts","",""
"","0","should upload a test file on a hidden input field","chromium","Mon Nov 11 22:30:38 CET 2024","skipped","Mon Nov 11 22:30:38 CET 2024","Upload file tests","upload.spec.ts","",""
"","8312","Click get started button using CSS selector","chromium","Mon Nov 11 22:30:24 CET 2024","failed","Mon Nov 11 22:30:33 CET 2024","Home page","home.spec.ts","",""
"","10556","Fill in Contact form and verify success message","chromium","Mon Nov 11 22:30:24 CET 2024","passed","Mon Nov 11 22:30:34 CET 2024","contact page tests","contact.spec.ts","",""
"","5657","Access Orders","chromium","Mon Nov 11 22:30:18 CET 2024","passed","Mon Nov 11 22:30:24 CET 2024","My Account","account.spec.ts","",""
"","4893","Open AboutPage and verify title","chromium","Mon Nov 11 22:30:18 CET 2024","passed","Mon Nov 11 22:30:23 CET 2024","About page","about.spec.ts","",""
"","6588","should upload a large test file this time with assertion wait","chromium","Mon Nov 11 22:30:38 CET 2024","passed","Mon Nov 11 22:30:45 CET 2024","Upload file tests","upload.spec.ts","",""
"","3248","Verify the text of the 4th nav link is blog","chromium","Mon Nov 11 22:30:35 CET 2024","passed","Mon Nov 11 22:30:39 CET 2024","Home page","home.spec.ts","",""
